epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.774,1.01126,3.50186,1.11775,0.41261,0.53624,0.46636,0.38246,0.74606,1.93678,1.09636,5.63076e-05,5.63076e-05,5.63076e-05
2,599.042,0.97207,1.82355,1.09625,0.50243,0.68057,0.62599,0.51878,0.70102,2.07974,1.08534,0.000111526,0.000111526,0.000111526
3,939.688,0.94595,1.50612,1.08852,0.7012,0.63018,0.70879,0.58465,0.73781,1.32446,1.14769,0.000165629,0.000165629,0.000165629
4,1282.65,0.93441,1.32749,1.08725,0.64002,0.71163,0.69523,0.5749,0.79872,1.43518,1.21604,0.000163981,0.000163981,0.000163981
5,1608.28,0.91434,1.19507,1.08844,0.69462,0.6938,0.75223,0.62493,0.75979,1.13196,1.15473,0.000162308,0.000162308,0.000162308
