epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5749.22,0.6128,0.62728,0.9358,0.7557,0.84305,0.86567,0.75436,0.55115,0.85711,0.9797,0.000100403,0.000100403,0.000100403
43,5882.5,0.60553,0.57977,0.92991,0.84451,0.80721,0.87251,0.76641,0.54826,0.99289,0.97279,9.87298e-05,9.87298e-05,9.87298e-05
44,6016.75,0.61409,0.59228,0.93306,0.82944,0.8243,0.87109,0.76163,0.55123,1.09809,0.97364,9.70567e-05,9.70567e-05,9.70567e-05
45,6152.37,0.61353,0.58978,0.93289,0.81954,0.84521,0.88229,0.76929,0.5456,0.66524,0.97525,9.53836e-05,9.53836e-05,9.53836e-05
46,6286.87,0.59416,0.55852,0.9324,0.85278,0.81569,0.87285,0.76169,0.55217,0.96643,0.9742,9.37105e-05,9.37105e-05,9.37105e-05
47,6423.05,0.60909,0.58341,0.94566,0.85057,0.82754,0.87009,0.75769,0.53982,0.83574,0.96009,9.20374e-05,9.20374e-05,9.20374e-05
48,6555.91,0.59824,0.6008,0.94234,0.82503,0.85473,0.87937,0.76708,0.56005,0.5812,0.98484,9.03643e-05,9.03643e-05,9.03643e-05
49,6691.71,0.59986,0.57727,0.92619,0.82647,0.84123,0.87923,0.77087,0.54983,0.78741,0.97982,8.86912e-05,8.86912e-05,8.86912e-05
50,6844.17,0.60417,0.57593,0.93689,0.83324,0.83471,0.87599,0.76702,0.54717,0.94311,0.96842,8.70181e-05,8.70181e-05,8.70181e-05
51,7005.45,0.559,0.43359,0.91162,0.86309,0.83478,0.88735,0.76984,0.55402,0.96737,0.97699,8.5345e-05,8.5345e-05,8.5345e-05
52,7145.38,0.55661,0.42754,0.91261,0.80224,0.86106,0.88267,0.76699,0.53856,0.89418,0.95806,8.36719e-05,8.36719e-05,8.36719e-05
53,7288.74,0.56229,0.42005,0.90666,0.84621,0.85052,0.88417,0.77185,0.52907,0.8402,0.95473,8.19988e-05,8.19988e-05,8.19988e-05
54,7424.8,0.5499,0.40314,0.90687,0.86323,0.84251,0.89104,0.77842,0.53193,0.81832,0.95689,8.03257e-05,8.03257e-05,8.03257e-05
55,7561.3,0.55172,0.41579,0.91006,0.78059,0.87624,0.88585,0.77474,0.53533,1.0873,0.95448,7.86526e-05,7.86526e-05,7.86526e-05
56,7721.14,0.53672,0.39144,0.90286,0.77522,0.86005,0.88616,0.77355,0.52618,0.81559,0.95124,7.69795e-05,7.69795e-05,7.69795e-05
57,7869.27,0.54503,0.39359,0.90276,0.81516,0.82983,0.89262,0.77806,0.529,0.7781,0.96093,7.53064e-05,7.53064e-05,7.53064e-05
58,8004.86,0.53989,0.3973,0.90127,0.84302,0.81505,0.87272,0.76417,0.53884,0.66094,0.96087,7.36333e-05,7.36333e-05,7.36333e-05
59,8149.88,0.53724,0.39137,0.8975,0.8609,0.81199,0.88067,0.77491,0.53133,0.68823,0.95236,7.19602e-05,7.19602e-05,7.19602e-05
60,8286.71,0.53822,0.38448,0.89638,0.81925,0.87013,0.89757,0.78845,0.5223,0.71385,0.95484,7.02871e-05,7.02871e-05,7.02871e-05
61,8421.86,0.54183,0.39836,0.89643,0.83135,0.85267,0.87822,0.77102,0.53515,1.06125,0.95511,6.8614e-05,6.8614e-05,6.8614e-05
62,8559.75,0.52253,0.37638,0.88944,0.86916,0.83955,0.89839,0.78347,0.52879,0.91622,0.94995,6.69409e-05,6.69409e-05,6.69409e-05
63,8694.05,0.52572,0.36888,0.88921,0.81813,0.85302,0.88584,0.77974,0.52744,0.90918,0.95769,6.52678e-05,6.52678e-05,6.52678e-05
64,8831.34,0.52245,0.37283,0.88585,0.83271,0.84105,0.87673,0.76501,0.53399,0.88009,0.96026,6.35947e-05,6.35947e-05,6.35947e-05
65,8965.8,0.51918,0.36,0.89193,0.82113,0.86996,0.88968,0.78166,0.53718,0.89376,0.9651,6.19216e-05,6.19216e-05,6.19216e-05
66,9103.13,0.51576,0.36249,0.88993,0.87352,0.83316,0.88899,0.7823,0.52625,1.06393,0.9492,6.02485e-05,6.02485e-05,6.02485e-05
67,9237.4,0.51845,0.36766,0.88107,0.83288,0.86415,0.88288,0.77746,0.53395,1.05818,0.96092,5.85754e-05,5.85754e-05,5.85754e-05
68,9374.43,0.51952,0.34454,0.89018,0.83479,0.85259,0.89079,0.78234,0.52777,0.8559,0.95049,5.69023e-05,5.69023e-05,5.69023e-05
69,9511.72,0.51664,0.34609,0.88587,0.84129,0.84329,0.87699,0.76876,0.53015,1.00679,0.95349,5.52292e-05,5.52292e-05,5.52292e-05
70,9649.11,0.51359,0.34984,0.8839,0.81846,0.87056,0.87861,0.7764,0.51681,0.95186,0.94579,5.35561e-05,5.35561e-05,5.35561e-05
71,9794.47,0.51122,0.33863,0.8863,0.81816,0.85773,0.8792,0.77783,0.51547,0.97149,0.94471,5.1883e-05,5.1883e-05,5.1883e-05
72,9937.63,0.49651,0.32305,0.88249,0.85501,0.85122,0.89866,0.79054,0.52128,0.85067,0.95131,5.02099e-05,5.02099e-05,5.02099e-05
73,10086.3,0.49628,0.32727,0.87592,0.81766,0.85889,0.88733,0.77751,0.52286,0.82115,0.94581,4.85368e-05,4.85368e-05,4.85368e-05
74,10228.9,0.49435,0.32921,0.87779,0.81935,0.84982,0.88395,0.7739,0.51734,0.7815,0.94803,4.68637e-05,4.68637e-05,4.68637e-05
75,10375.5,0.49395,0.3273,0.87978,0.83253,0.83864,0.88503,0.7787,0.51985,0.88353,0.95198,4.51906e-05,4.51906e-05,4.51906e-05
76,10519.3,0.48937,0.32445,0.87611,0.84617,0.84631,0.88527,0.77999,0.50941,0.95455,0.94398,4.35175e-05,4.35175e-05,4.35175e-05
77,10664.4,0.48322,0.30995,0.87224,0.83821,0.84193,0.88781,0.78008,0.51803,1.11041,0.94577,4.18444e-05,4.18444e-05,4.18444e-05
78,10810.5,0.49171,0.31904,0.87902,0.8377,0.86403,0.8948,0.78806,0.52552,1.00453,0.95915,4.01713e-05,4.01713e-05,4.01713e-05
79,10957.7,0.47923,0.31346,0.8783,0.83126,0.8577,0.88718,0.78003,0.52789,1.2313,0.94982,3.84982e-05,3.84982e-05,3.84982e-05
80,11103.1,0.48607,0.32242,0.87407,0.82675,0.87065,0.88147,0.77174,0.53043,1.04466,0.95787,3.68251e-05,3.68251e-05,3.68251e-05
81,11250.3,0.47976,0.30704,0.87028,0.82543,0.86032,0.88267,0.77671,0.52405,1.04386,0.94977,3.5152e-05,3.5152e-05,3.5152e-05
82,11395.2,0.47908,0.30222,0.87682,0.84534,0.85951,0.89128,0.78245,0.52471,1.14865,0.95532,3.34789e-05,3.34789e-05,3.34789e-05
83,11544,0.47653,0.31952,0.86954,0.82387,0.85833,0.88697,0.77876,0.51815,1.20964,0.94497,3.18058e-05,3.18058e-05,3.18058e-05
84,11694.2,0.47433,0.30051,0.86895,0.85201,0.85262,0.89055,0.78202,0.5241,1.17311,0.94802,3.01327e-05,3.01327e-05,3.01327e-05
85,11842.2,0.46671,0.29693,0.86549,0.87658,0.83801,0.89293,0.78325,0.52143,0.94842,0.94562,2.84596e-05,2.84596e-05,2.84596e-05
86,11991.3,0.465,0.29419,0.86442,0.88009,0.8383,0.89316,0.78372,0.52602,1.02082,0.95187,2.67865e-05,2.67865e-05,2.67865e-05
87,12152.6,0.46812,0.2876,0.86361,0.84358,0.86138,0.89871,0.78934,0.52136,0.79134,0.95406,2.51134e-05,2.51134e-05,2.51134e-05
88,12285.6,0.46357,0.29604,0.86235,0.85957,0.8444,0.89412,0.78473,0.51869,0.84842,0.94643,2.34403e-05,2.34403e-05,2.34403e-05
89,12434.4,0.45243,0.27967,0.86121,0.84746,0.86743,0.88824,0.78342,0.52179,0.83384,0.95201,2.17672e-05,2.17672e-05,2.17672e-05
90,12587.7,0.45765,0.28691,0.86216,0.86205,0.86368,0.89423,0.78604,0.52312,0.8604,0.95423,2.00941e-05,2.00941e-05,2.00941e-05
91,12761.9,0.44915,0.27561,0.85649,0.84893,0.86115,0.88795,0.78014,0.52446,0.91181,0.95522,1.8421e-05,1.8421e-05,1.8421e-05
92,12906.2,0.45147,0.27867,0.85323,0.87082,0.85335,0.89202,0.77957,0.52369,0.8843,0.95711,1.67479e-05,1.67479e-05,1.67479e-05
93,13042.4,0.4489,0.26793,0.85659,0.84882,0.87494,0.89599,0.78653,0.51894,0.88126,0.95016,1.50748e-05,1.50748e-05,1.50748e-05
94,13190,0.44823,0.2757,0.85868,0.86046,0.87342,0.89629,0.78754,0.52352,0.87682,0.95611,1.34017e-05,1.34017e-05,1.34017e-05
95,13328.1,0.45602,0.27523,0.85931,0.85975,0.87742,0.90233,0.79574,0.52434,0.8955,0.96067,1.17286e-05,1.17286e-05,1.17286e-05
96,13472.3,0.44164,0.26737,0.85839,0.85987,0.88408,0.904,0.79262,0.51889,0.79288,0.95143,1.00555e-05,1.00555e-05,1.00555e-05
97,13626.9,0.44483,0.27708,0.85817,0.88242,0.87394,0.90499,0.79644,0.52249,0.84486,0.95575,8.3824e-06,8.3824e-06,8.3824e-06
98,13782.4,0.43774,0.2724,0.85691,0.85261,0.88396,0.90142,0.79164,0.52045,0.83642,0.95212,6.7093e-06,6.7093e-06,6.7093e-06
99,13924.1,0.44146,0.26776,0.85699,0.8701,0.85891,0.90469,0.79343,0.52378,0.85826,0.9596,5.0362e-06,5.0362e-06,5.0362e-06
100,14067.2,0.43851,0.2716,0.85741,0.85908,0.87481,0.90236,0.79226,0.52277,0.84244,0.95776,3.3631e-06,3.3631e-06,3.3631e-06
