epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2588.73,0.693,0.46023,0.92464,0.90684,0.90668,0.93527,0.8094,0.53771,0.41213,0.86632,0.000660045,0.000660045,0.000660045
43,2644.01,0.67906,0.4471,0.92096,0.91244,0.91348,0.93756,0.81668,0.53639,0.41146,0.86944,0.000649046,0.000649046,0.000649046
44,2700.48,0.67806,0.44766,0.91418,0.90298,0.91598,0.93668,0.80918,0.54856,0.40422,0.8651,0.000638047,0.000638047,0.000638047
45,2760.08,0.66847,0.4423,0.91108,0.89007,0.9407,0.94347,0.81846,0.53947,0.39595,0.86523,0.000627048,0.000627048,0.000627048
46,2816.04,0.67024,0.43575,0.91282,0.90391,0.93199,0.94244,0.81221,0.55737,0.39909,0.87038,0.000616049,0.000616049,0.000616049
47,2867.06,0.66329,0.42723,0.91129,0.9235,0.90479,0.94062,0.81317,0.54691,0.39813,0.86622,0.000605051,0.000605051,0.000605051
48,2918.03,0.65498,0.42441,0.90631,0.90892,0.91879,0.93855,0.81938,0.53769,0.39835,0.86877,0.000594052,0.000594052,0.000594052
49,2970,0.65005,0.42645,0.91016,0.9088,0.9235,0.93906,0.81404,0.53623,0.40129,0.86013,0.000583053,0.000583053,0.000583053
50,3024.48,0.66163,0.42566,0.90988,0.92049,0.89551,0.94062,0.81302,0.54061,0.40797,0.86071,0.000572054,0.000572054,0.000572054
51,3092.03,0.617,0.3815,0.88427,0.91378,0.91371,0.94845,0.81652,0.54909,0.39643,0.87264,0.000561055,0.000561055,0.000561055
52,3141.03,0.60789,0.36957,0.88487,0.90866,0.92609,0.94577,0.81383,0.54881,0.39218,0.87118,0.000550056,0.000550056,0.000550056
53,3195.15,0.60002,0.36008,0.88047,0.91313,0.90815,0.94319,0.82006,0.53119,0.396,0.86294,0.000539057,0.000539057,0.000539057
54,3249.09,0.6022,0.36123,0.88053,0.90818,0.91678,0.9439,0.82161,0.52855,0.39094,0.86683,0.000528058,0.000528058,0.000528058
55,3304.14,0.59339,0.35756,0.87465,0.92717,0.8988,0.94608,0.82257,0.5345,0.38786,0.86552,0.000517059,0.000517059,0.000517059
56,3360.34,0.58995,0.35473,0.87352,0.92198,0.89839,0.93878,0.81666,0.53659,0.39072,0.8637,0.00050606,0.00050606,0.00050606
57,3416.59,0.58954,0.35547,0.87602,0.9202,0.90317,0.94112,0.81777,0.52822,0.38344,0.86427,0.000495062,0.000495062,0.000495062
58,3474.46,0.57903,0.35032,0.87043,0.91955,0.91444,0.94804,0.82121,0.53722,0.37872,0.86584,0.000484063,0.000484063,0.000484063
59,3536.84,0.57606,0.33864,0.86845,0.91006,0.9168,0.94543,0.82187,0.52848,0.37734,0.86259,0.000473064,0.000473064,0.000473064
60,3601.57,0.56852,0.33646,0.86481,0.91279,0.92398,0.94914,0.82206,0.53044,0.37646,0.86326,0.000462065,0.000462065,0.000462065
61,3666.63,0.56604,0.33631,0.86391,0.9267,0.90859,0.94874,0.82612,0.53189,0.3645,0.86243,0.000451066,0.000451066,0.000451066
62,3738.36,0.56008,0.32837,0.86312,0.9111,0.93272,0.95002,0.82719,0.53134,0.36668,0.86756,0.000440067,0.000440067,0.000440067
63,3803.41,0.56162,0.33379,0.86821,0.9374,0.91487,0.95419,0.8285,0.52708,0.35999,0.8646,0.000429068,0.000429068,0.000429068
64,3858.35,0.55947,0.33775,0.86227,0.92696,0.90661,0.94757,0.82156,0.52612,0.38316,0.86122,0.000418069,0.000418069,0.000418069
65,3909.67,0.54893,0.32555,0.8603,0.91743,0.92114,0.9486,0.82689,0.52604,0.37265,0.86459,0.00040707,0.00040707,0.00040707
66,3962.31,0.54898,0.325,0.8559,0.90976,0.92679,0.94415,0.82258,0.52248,0.36211,0.86079,0.000396071,0.000396071,0.000396071
67,4012.9,0.54709,0.3202,0.85976,0.91645,0.9214,0.94685,0.8254,0.5262,0.3675,0.86196,0.000385073,0.000385073,0.000385073
68,4071.9,0.54062,0.31596,0.86026,0.90897,0.92973,0.94692,0.82383,0.52673,0.36807,0.8654,0.000374074,0.000374074,0.000374074
69,4130.07,0.54021,0.31036,0.85788,0.90918,0.93243,0.94386,0.82664,0.52171,0.35832,0.86817,0.000363075,0.000363075,0.000363075
70,4188.02,0.5341,0.31353,0.85407,0.91556,0.9199,0.94602,0.82715,0.52356,0.36351,0.86564,0.000352076,0.000352076,0.000352076
71,4247.25,0.52649,0.3019,0.85768,0.91033,0.92552,0.94802,0.82275,0.52236,0.37375,0.85936,0.000341077,0.000341077,0.000341077
72,4305.13,0.52411,0.30382,0.84869,0.91043,0.9214,0.94714,0.82476,0.5204,0.36423,0.85446,0.000330078,0.000330078,0.000330078
73,4365.12,0.52123,0.29782,0.84902,0.89966,0.93611,0.94559,0.82527,0.51854,0.36528,0.85853,0.000319079,0.000319079,0.000319079
74,4425.32,0.5187,0.30075,0.84815,0.91784,0.92554,0.95054,0.82705,0.52056,0.35897,0.8575,0.00030808,0.00030808,0.00030808
75,4487.67,0.51727,0.29757,0.84839,0.93339,0.90173,0.9442,0.82213,0.52536,0.3669,0.86211,0.000297081,0.000297081,0.000297081
76,4546.55,0.5149,0.29583,0.849,0.92522,0.91536,0.94986,0.82766,0.51672,0.35551,0.85604,0.000286083,0.000286083,0.000286083
77,4596.97,0.51198,0.29114,0.8493,0.90678,0.93305,0.95029,0.8269,0.52086,0.35454,0.85592,0.000275084,0.000275084,0.000275084
78,4648.54,0.50578,0.28942,0.84369,0.91952,0.92052,0.94291,0.82179,0.52081,0.35906,0.85672,0.000264085,0.000264085,0.000264085
79,4703.33,0.50362,0.28911,0.84514,0.92327,0.9186,0.9504,0.82717,0.5212,0.35583,0.85605,0.000253086,0.000253086,0.000253086
80,4761.97,0.49627,0.28364,0.83995,0.91721,0.93025,0.94893,0.82782,0.51679,0.36312,0.86009,0.000242087,0.000242087,0.000242087
81,4823.48,0.49529,0.27854,0.84025,0.92316,0.92561,0.95194,0.82871,0.52027,0.35215,0.85776,0.000231088,0.000231088,0.000231088
82,4883.89,0.49519,0.2847,0.84404,0.91312,0.92362,0.9452,0.82253,0.51952,0.35882,0.85659,0.000220089,0.000220089,0.000220089
83,4948.07,0.48856,0.27668,0.84112,0.91976,0.92996,0.94945,0.82964,0.52185,0.3515,0.86014,0.00020909,0.00020909,0.00020909
84,5000.77,0.48926,0.27699,0.84348,0.93347,0.91301,0.95102,0.82782,0.52045,0.35216,0.85817,0.000198091,0.000198091,0.000198091
85,5051.34,0.48097,0.27413,0.83439,0.92169,0.92289,0.94651,0.82611,0.51903,0.34905,0.85762,0.000187092,0.000187092,0.000187092
86,5110.8,0.48084,0.2739,0.83671,0.92139,0.91982,0.94895,0.8282,0.51693,0.35185,0.85708,0.000176094,0.000176094,0.000176094
87,5173.38,0.47979,0.27121,0.83683,0.92088,0.91844,0.94556,0.82376,0.51876,0.36042,0.85329,0.000165095,0.000165095,0.000165095
88,5235.5,0.47802,0.26766,0.83313,0.91252,0.92896,0.95035,0.82849,0.51645,0.35067,0.85171,0.000154096,0.000154096,0.000154096
