epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2259.9,0.64403,0.64397,0.90398,0.84771,0.74681,0.81649,0.71218,0.53965,0.61954,0.87936,0.000100403,0.000100403,0.000100403
43,2314.13,0.63083,0.64036,0.90379,0.82751,0.75801,0.82278,0.7174,0.54397,0.61638,0.8799,9.87298e-05,9.87298e-05,9.87298e-05
44,2368.05,0.63743,0.63972,0.90889,0.82989,0.78528,0.82377,0.71738,0.5365,0.60383,0.87579,9.70567e-05,9.70567e-05,9.70567e-05
45,2422.92,0.62524,0.63113,0.89977,0.80626,0.79208,0.82398,0.71887,0.53508,0.62711,0.87422,9.53836e-05,9.53836e-05,9.53836e-05
46,2476.75,0.623,0.61446,0.90102,0.84076,0.78634,0.82621,0.72126,0.53906,0.61986,0.87624,9.37105e-05,9.37105e-05,9.37105e-05
47,2529.85,0.62206,0.60683,0.89585,0.84693,0.7715,0.83727,0.73206,0.53346,0.59674,0.87365,9.20374e-05,9.20374e-05,9.20374e-05
48,2583.99,0.61498,0.60023,0.89686,0.86041,0.77178,0.83131,0.72249,0.53808,0.59329,0.8759,9.03643e-05,9.03643e-05,9.03643e-05
49,2639.7,0.61602,0.59757,0.89754,0.82678,0.78549,0.83543,0.72994,0.53571,0.59567,0.87314,8.86912e-05,8.86912e-05,8.86912e-05
50,2694.7,0.60817,0.58239,0.89367,0.88779,0.76724,0.83533,0.72957,0.53757,0.59646,0.87575,8.70181e-05,8.70181e-05,8.70181e-05
51,2755.5,0.57356,0.50466,0.88069,0.85508,0.76837,0.82347,0.71675,0.54496,0.60593,0.87873,8.5345e-05,8.5345e-05,8.5345e-05
52,2808.82,0.55399,0.48577,0.87128,0.86501,0.76672,0.83879,0.73171,0.53674,0.59128,0.87517,8.36719e-05,8.36719e-05,8.36719e-05
53,2867.26,0.55482,0.48035,0.87435,0.82489,0.79637,0.84274,0.73506,0.53952,0.59663,0.87902,8.19988e-05,8.19988e-05,8.19988e-05
54,2925.63,0.55174,0.47633,0.87032,0.84056,0.78028,0.83177,0.72018,0.54188,0.59752,0.8777,8.03257e-05,8.03257e-05,8.03257e-05
55,2982.94,0.54428,0.46267,0.86692,0.87239,0.76518,0.82584,0.71785,0.5366,0.58877,0.87561,7.86526e-05,7.86526e-05,7.86526e-05
56,3039.96,0.53873,0.45469,0.86636,0.8436,0.7964,0.83689,0.72667,0.54118,0.568,0.87715,7.69795e-05,7.69795e-05,7.69795e-05
57,3097.74,0.53259,0.45306,0.86535,0.87111,0.77178,0.82865,0.72142,0.53369,0.57978,0.87228,7.53064e-05,7.53064e-05,7.53064e-05
58,3154.2,0.5332,0.45409,0.86661,0.8403,0.77317,0.82672,0.7186,0.53576,0.58197,0.87353,7.36333e-05,7.36333e-05,7.36333e-05
59,3211.47,0.52861,0.44071,0.86389,0.85968,0.75481,0.82548,0.71853,0.53598,0.57297,0.87625,7.19602e-05,7.19602e-05,7.19602e-05
60,3272.83,0.52134,0.43277,0.86215,0.87159,0.75741,0.82908,0.72181,0.53332,0.57449,0.87578,7.02871e-05,7.02871e-05,7.02871e-05
